accumulation_rows,admissible,burst_lines,burst_symbol_rows,claimed_bound_bytes,column_twist,correctable_erasures,correctable_errors,mean_damaged_bytes,n_burst_positions,n_descriptions,n_units_placed,reason,rs_k,rs_nsym,scheme,survives_as_erasures,survives_as_errors,worst_damaged_bytes,worst_unit
278,True,2,2,-1,1,128,64,40.0,277,4,6,,127,128,random-64,True,True,45,5
278,True,4,3,-1,1,128,64,53.67,276,4,6,,127,128,random-64,True,True,56,5
278,True,8,5,-1,1,128,64,84.0,274,4,6,,127,128,random-64,True,False,86,5
278,True,16,9,-1,1,128,64,139.83,270,4,6,,127,128,random-64,False,False,142,0
278,True,24,13,-1,1,128,64,191.5,266,4,6,,127,128,random-64,False,False,194,2
278,True,32,17,-1,1,128,64,242.83,262,4,6,,127,128,random-64,False,False,247,1
278,True,48,25,-1,1,128,64,348.0,254,4,6,,127,128,random-64,False,False,356,1
278,True,64,33,-1,1,128,64,450.17,246,4,6,,127,128,random-64,False,False,464,1
278,True,1,1,13,0,128,64,13.0,278,1,6,,127,128,bawp-8,True,True,13,0
278,True,2,2,26,0,128,64,26.0,277,1,6,,127,128,bawp-8,True,True,26,0
278,True,4,3,39,0,128,64,39.0,276,1,6,,127,128,bawp-8,True,True,39,0
278,True,8,5,65,0,128,64,65.0,274,1,6,,127,128,bawp-8,True,False,65,0
278,True,16,9,117,0,128,64,117.0,270,1,6,,127,128,bawp-8,True,False,117,0
278,True,24,13,169,0,128,64,169.0,266,1,6,,127,128,bawp-8,False,False,169,0
278,True,32,17,221,0,128,64,221.0,262,1,6,,127,128,bawp-8,False,False,221,0
278,True,48,25,325,0,128,64,325.0,254,1,6,,127,128,bawp-8,False,False,325,0
278,True,64,33,429,0,128,64,429.0,246,1,6,,127,128,bawp-8,False,False,429,0
278,True,1,1,13,1,128,64,13.0,278,1,6,,127,128,bawp-8,True,True,13,0
278,True,2,2,26,1,128,64,26.0,277,1,6,,127,128,bawp-8,True,True,26,0
278,True,4,3,39,1,128,64,39.0,276,1,6,,127,128,bawp-8,True,True,39,0
278,True,8,5,65,1,128,64,65.0,274,1,6,,127,128,bawp-8,True,False,65,0
278,True,16,9,117,1,128,64,117.0,270,1,6,,127,128,bawp-8,True,False,117,0
278,True,24,13,169,1,128,64,169.0,266,1,6,,127,128,bawp-8,False,False,169,0
278,True,32,17,221,1,128,64,221.0,262,1,6,,127,128,bawp-8,False,False,221,0
278,True,48,25,325,1,128,64,325.0,254,1,6,,127,128,bawp-8,False,False,325,0
278,True,64,33,429,1,128,64,429.0,246,1,6,,127,128,bawp-8,False,False,429,0
278,True,1,1,13,3,128,64,13.0,278,1,6,,127,128,bawp-8,True,True,13,0
278,True,2,2,26,3,128,64,26.0,277,1,6,,127,128,bawp-8,True,True,26,0
278,True,4,3,39,3,128,64,39.0,276,1,6,,127,128,bawp-8,True,True,39,0
278,True,8,5,65,3,128,64,65.0,274,1,6,,127,128,bawp-8,True,False,65,0
278,True,16,9,117,3,128,64,117.0,270,1,6,,127,128,bawp-8,True,False,117,0
278,True,24,13,169,3,128,64,169.0,266,1,6,,127,128,bawp-8,False,False,169,0
278,True,32,17,221,3,128,64,221.0,262,1,6,,127,128,bawp-8,False,False,221,0
278,True,48,25,325,3,128,64,325.0,254,1,6,,127,128,bawp-8,False,False,325,0
278,True,64,33,429,3,128,64,429.0,246,1,6,,127,128,bawp-8,False,False,429,0
278,True,1,1,26,0,128,64,26.0,278,2,6,,127,128,bawp-8,True,True,26,0
278,True,2,2,52,0,128,64,52.0,277,2,6,,127,128,bawp-8,True,True,52,0
278,True,4,3,78,0,128,64,78.0,276,2,6,,127,128,bawp-8,True,False,78,0
278,True,8,5,130,0,128,64,130.0,274,2,6,,127,128,bawp-8,False,False,130,0
278,True,16,9,234,0,128,64,234.0,270,2,6,,127,128,bawp-8,False,False,234,0
278,True,24,13,338,0,128,64,338.0,266,2,6,,127,128,bawp-8,False,False,338,0
278,True,32,17,442,0,128,64,438.0,262,2,6,,127,128,bawp-8,False,False,438,0
278,True,48,25,650,0,128,64,638.0,254,2,6,,127,128,bawp-8,False,False,638,0
278,True,64,33,858,0,128,64,838.0,246,2,6,,127,128,bawp-8,False,False,838,0
278,True,1,1,26,1,128,64,26.0,278,2,6,,127,128,bawp-8,True,True,26,0
278,True,2,2,52,1,128,64,52.0,277,2,6,,127,128,bawp-8,True,True,52,0
278,True,4,3,78,1,128,64,78.0,276,2,6,,127,128,bawp-8,True,False,78,0
278,True,8,5,130,1,128,64,130.0,274,2,6,,127,128,bawp-8,False,False,130,0
278,True,16,9,234,1,128,64,234.0,270,2,6,,127,128,bawp-8,False,False,234,0
278,True,24,13,338,1,128,64,338.0,266,2,6,,127,128,bawp-8,False,False,338,0
278,True,32,17,442,1,128,64,438.0,262,2,6,,127,128,bawp-8,False,False,438,0
278,True,48,25,650,1,128,64,638.0,254,2,6,,127,128,bawp-8,False,False,638,0
278,True,64,33,858,1,128,64,838.0,246,2,6,,127,128,bawp-8,False,False,838,0
278,True,1,1,26,3,128,64,26.0,278,2,6,,127,128,bawp-8,True,True,26,0
278,True,2,2,52,3,128,64,52.0,277,2,6,,127,128,bawp-8,True,True,52,0
278,True,4,3,78,3,128,64,78.0,276,2,6,,127,128,bawp-8,True,False,78,0
278,True,8,5,130,3,128,64,130.0,274,2,6,,127,128,bawp-8,False,False,130,0
278,True,16,9,234,3,128,64,234.0,270,2,6,,127,128,bawp-8,False,False,234,0
278,True,24,13,338,3,128,64,338.0,266,2,6,,127,128,bawp-8,False,False,338,0
278,True,32,17,442,3,128,64,438.0,262,2,6,,127,128,bawp-8,False,False,438,0
278,True,48,25,650,3,128,64,638.0,254,2,6,,127,128,bawp-8,False,False,638,0
278,True,64,33,858,3,128,64,838.0,246,2,6,,127,128,bawp-8,False,False,838,0
278,True,1,1,51,0,128,64,50.75,278,4,4,,127,128,bawp-8,True,True,51,0
278,True,2,2,102,0,128,64,101.5,277,4,4,,127,128,bawp-8,True,False,102,0
278,True,4,3,153,0,128,64,152.25,276,4,4,,127,128,bawp-8,False,False,153,0
278,True,8,5,255,0,128,64,253.75,274,4,4,,127,128,bawp-8,False,False,255,0
278,True,16,9,459,0,128,64,456.75,270,4,4,,127,128,bawp-8,False,False,459,0
278,True,24,13,663,0,128,64,658.75,266,4,4,,127,128,bawp-8,False,False,663,0
278,True,32,17,867,0,128,64,860.75,262,4,4,,127,128,bawp-8,False,False,867,0
278,True,48,25,1275,0,128,64,1264.75,254,4,4,,127,128,bawp-8,False,False,1275,0
278,True,64,33,1683,0,128,64,1668.75,246,4,4,,127,128,bawp-8,False,False,1683,0
278,True,1,1,51,1,128,64,50.75,278,4,4,,127,128,bawp-8,True,True,51,0
278,True,2,2,102,1,128,64,101.5,277,4,4,,127,128,bawp-8,True,False,102,0
278,True,4,3,153,1,128,64,152.25,276,4,4,,127,128,bawp-8,False,False,153,0
278,True,8,5,255,1,128,64,253.75,274,4,4,,127,128,bawp-8,False,False,255,0
